teams
Notre Dame Fighting Irish
North Carolina State Wolfpack
Clemson Tigers
Boston College Eagles
Syracuse Orange
North Carolina Tar Heels
Wake Forest Demon Deacons
Florida State Seminoles
Miami (FL) Hurricanes
Duke Blue Devils
Virginia Tech Hokies
Louisville Cardinals
Virginia Cavaliers
Pittsburgh Panthers
Georgia Tech Yellow Jackets
