Date,AwayTeam,AwayScore,HomeTeam,HomeScore
2/13/19 20:00,Georgia Tech Yellow Jackets,68,Virginia Tech Hokies,76
2/13/19 20:00,Syracuse Orange,58,North Carolina State Wolfpack,73
2/16/19 3:27,North Carolina State Wolfpack,78,Duke Blue Devils,94
2/16/19 12:00,North Carolina Tar Heels,95,Wake Forest Demon Deacons,57
2/16/19 12:00,Clemson Tigers,55,Louisville Cardinals,56
2/16/19 14:00,Notre Dame Fighting Irish,54,Virginia Cavaliers,60
2/16/19 14:00,Florida State Seminoles,69,Georgia Tech Yellow Jackets,47
2/16/19 16:30,Virginia Tech Hokies,70,Pittsburgh Panthers,64
2/17/19 18:00,Miami (FL) Hurricanes,57,Boston College Eagles,64
2/18/19 19:00,Virginia Cavaliers,64,Virginia Tech Hokies,58
2/19/19 19:00,Wake Forest Demon Deacons,75,Notre Dame Fighting Irish,68
2/19/19 21:00,Florida State Seminoles,77,Clemson Tigers,64
2/20/19 19:00,Boston College Eagles,80,North Carolina State Wolfpack,89
2/20/19 19:00,Louisville Cardinals,49,Syracuse Orange,69
2/20/19 21:00,North Carolina Tar Heels,88,Duke Blue Devils,72
2/20/19 21:00,Pittsburgh Panthers,65,Georgia Tech Yellow Jackets,73
2/23/19 3:27,Duke Blue Devils,75,Syracuse Orange,65
2/23/19 12:00,Boston College Eagles,66,Clemson Tigers,76
2/23/19 12:00,Virginia Cavaliers,64,Louisville Cardinals,52
2/23/19 14:00,Georgia Tech Yellow Jackets,65,Miami (FL) Hurricanes,80
2/23/19 15:45,Florida State Seminoles,59,North Carolina Tar Heels,77
2/23/19 16:00,Virginia Tech Hokies,67,Notre Dame Fighting Irish,59
2/24/19 18:00,Wake Forest Demon Deacons,74,North Carolina State Wolfpack,94
2/25/19 19:00,Notre Dame Fighting Irish,61,Florida State Seminoles,68
2/26/19 3:27,Duke Blue Devils,72,Virginia Tech Hokies,77
2/26/19 19:00,Miami (FL) Hurricanes,75,Wake Forest Demon Deacons,76
2/26/19 21:00,Syracuse Orange,85,North Carolina Tar Heels,93
2/27/19 19:00,Georgia Tech Yellow Jackets,51,Virginia Cavaliers,81
2/27/19 19:00,Clemson Tigers,62,Pittsburgh Panthers,48
2/27/19 21:00,Louisville Cardinals,59,Boston College Eagles,66
3/2/19 3:27,North Carolina Tar Heels,81,Clemson Tigers,79
3/2/19 12:00,North Carolina State Wolfpack,73,Florida State Seminoles,78
3/2/19 12:00,Syracuse Orange,79,Wake Forest Demon Deacons,54
3/2/19 14:00,Pittsburgh Panthers,49,Virginia Cavaliers,73
3/2/19 16:00,Miami (FL) Hurricanes,57,Duke Blue Devils,87
3/3/19 13:30,Notre Dame Fighting Irish,61,Louisville Cardinals,75
3/3/19 18:00,Boston College Eagles,78,Georgia Tech Yellow Jackets,81
3/4/19 19:00,Virginia Cavaliers,79,Syracuse Orange,53
3/5/19 19:00,Wake Forest Demon Deacons,70,Duke Blue Devils,71
3/5/19 19:00,Virginia Tech Hokies,64,Florida State Seminoles,73
3/5/19 20:00,Pittsburgh Panthers,63,Miami (FL) Hurricanes,76
3/5/19 20:00,North Carolina Tar Heels,79,Boston College Eagles,66
3/6/19 21:00,Clemson Tigers,64,Notre Dame Fighting Irish,62
3/6/19 21:00,Georgia Tech Yellow Jackets,63,North Carolina State Wolfpack,61
3/8/19 19:00,Miami (FL) Hurricanes,70,Virginia Tech Hokies,84
3/9/19 3:27,Louisville Cardinals,68,Virginia Cavaliers,73
3/9/19 12:00,Syracuse Orange,55,Clemson Tigers,67
3/9/19 12:00,Notre Dame Fighting Irish,53,Pittsburgh Panthers,56
3/9/19 12:00,Florida State Seminoles,65,Wake Forest Demon Deacons,57
3/9/19 14:00,North Carolina State Wolfpack,73,Boston College Eagles,47
3/9/19 18:00,Duke Blue Devils,70,North Carolina Tar Heels,79
3/12/19 12:00,Wake Forest Demon Deacons,71,Miami (FL) Hurricanes,79
3/12/19 14:00,Notre Dame Fighting Irish,78,Georgia Tech Yellow Jackets,71
3/12/19 19:00,Pittsburgh Panthers,80,Boston College Eagles,70
3/13/19 12:00,Clemson Tigers,58,North Carolina State Wolfpack,59
3/13/19 14:00,Miami (FL) Hurricanes,56,Virginia Tech Hokies,71
3/13/19 19:00,Notre Dame Fighting Irish,53,Louisville Cardinals,75
3/13/19 21:00,Pittsburgh Panthers,59,Syracuse Orange,73
3/14/19 12:30,North Carolina State Wolfpack,56,Virginia Cavaliers,76
3/14/19 14:30,Virginia Tech Hokies,63,Florida State Seminoles,65
3/14/19 19:00,Louisville Cardinals,70,North Carolina Tar Heels,83
3/14/19 21:00,Syracuse Orange,72,Duke Blue Devils,84
3/15/19 19:00,Florida State Seminoles,69,Virginia Cavaliers,59
3/15/19 21:00,Duke Blue Devils,74,North Carolina Tar Heels,73
3/16/19 20:30,Florida State Seminoles,63,Duke Blue Devils,73
